Sale Key,City Key,Customer Key,Bill To Customer Key,Stock Item Key,Invoice Date Key,Delivery Date Key,Salesperson Key,WWI Invoice ID,Description,Package,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Profit,Total Including Tax,Total Dry Items,Total Chiller Items,Lineage Key
1,1055,0,0,204,10/22/2013,10/23/2013,4,15189,DBA joke mug - mind if I join you? (White),Each,6,13,15,78,11.7,51,89.7,6,0,11
2,2587,0,0,173,10/22/2013,10/23/2013,4,15218,Developer joke mug - a foo walks into a bar (Black),Each,6,13,15,78,11.7,51,89.7,6,0,11
3,3166,0,0,174,10/28/2013,10/29/2013,70,15525,Developer joke mug - a foo walks into a bar (White),Each,6,13,15,78,11.7,51,89.7,6,0,11
4,2587,0,0,171,11/6/2013,11/7/2013,74,15986,Developer joke mug - this code was generated by a tool (Black),Each,6,13,15,78,11.7,51,89.7,6,0,11
5,464,0,0,203,11/8/2013,11/9/2013,9,16138,DBA joke mug - mind if I join you? (Black),Each,6,13,15,78,11.7,51,89.7,6,0,11
6,859,0,0,183,11/15/2013,11/16/2013,91,16464,Developer joke mug - when your hammer is C++ (Black),Each,6,13,15,78,11.7,51,89.7,6,0,11
7,1871,0,0,202,11/16/2013,11/17/2013,91,16501,DBA joke mug - daaaaaa-ta (White),Each,6,13,15,78,11.7,51,89.7,6,0,11
8,3242,0,0,176,11/22/2013,11/23/2013,91,16867,Developer joke mug - there are 10 types of people in the world (White),Each,6,13,15,78,11.7,51,89.7,6,0,11
9,2995,0,0,175,11/28/2013,11/29/2013,19,17112,Developer joke mug - there are 10 types of people in the world (Black),Each,6,13,15,78,11.7,51,89.7,6,0,11
10,2094,0,0,191,12/3/2013,12/4/2013,91,17405,DBA joke mug - two types of DBAs (Black),Each,6,13,15,78,11.7,51,89.7,6,0,11
11,2261,0,0,188,12/7/2013,12/8/2013,81,17632,Developer joke mug - that's a hardware problem (White),Each,6,13,15,78,11.7,51,89.7,6,0,11
12,3166,0,0,169,12/12/2013,12/13/2013,9,17823,Developer joke mug - old C developers never die (Black),Each,6,13,15,78,11.7,51,89.7,6,0,11
13,2995,0,0,166,12/12/2013,12/13/2013,1,17838,IT joke mug - that behavior is by design (White),Each,6,13,15,78,11.7,51,89.7,6,0,11
14,2587,0,0,171,12/19/2013,12/20/2013,9,18115,Developer joke mug - this code was generated by a tool (Black),Each,6,13,15,78,11.7,51,89.7,6,0,11
15,1198,0,0,182,10/24/2013,10/25/2013,19,15295,Developer joke mug - inheritance is the OO way to become wealthy (White),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
16,2080,0,0,165,10/24/2013,10/25/2013,9,15352,IT joke mug - that behavior is by design (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
17,3166,0,0,195,10/25/2013,10/26/2013,4,15437,DBA joke mug - I will get you in order (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
18,3166,0,0,172,10/25/2013,10/26/2013,4,15437,Developer joke mug - this code was generated by a tool (White),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
19,127,0,0,183,11/1/2013,11/2/2013,81,15809,Developer joke mug - when your hammer is C++ (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
20,2080,0,0,201,11/6/2013,11/7/2013,84,16031,DBA joke mug - daaaaaa-ta (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
21,2995,0,0,203,11/7/2013,11/8/2013,4,16065,DBA joke mug - mind if I join you? (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
22,2465,0,0,167,11/14/2013,11/15/2013,91,16381,IT joke mug - keyboard not found … press F1 to continue (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
23,292,0,0,197,11/23/2013,11/24/2013,9,16878,DBA joke mug - it depends (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
24,2995,0,0,199,11/28/2013,11/29/2013,19,17112,DBA joke mug - you might be a DBA if (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
25,1341,0,0,202,12/16/2013,12/17/2013,93,17953,DBA joke mug - daaaaaa-ta (White),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
26,1341,0,0,186,12/16/2013,12/17/2013,93,17953,Developer joke mug - fun was unexpected at this time (White),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
27,2995,0,0,172,12/17/2013,12/18/2013,9,18016,Developer joke mug - this code was generated by a tool (White),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
28,2995,0,0,184,12/27/2013,12/28/2013,90,18531,Developer joke mug - when your hammer is C++ (White),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
29,1055,0,0,167,12/31/2013,1/1/2014,94,18731,IT joke mug - keyboard not found … press F1 to continue (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
30,1198,0,0,170,10/24/2013,10/25/2013,85,15359,Developer joke mug - old C developers never die (White),Each,2,13,15,26,3.9,17,29.9,2,0,11
31,2587,0,0,167,11/13/2013,11/14/2013,4,16273,IT joke mug - keyboard not found … press F1 to continue (Black),Each,2,13,15,26,3.9,17,29.9,2,0,11
32,292,0,0,184,11/13/2013,11/14/2013,91,16277,Developer joke mug - when your hammer is C++ (White),Each,2,13,15,26,3.9,17,29.9,2,0,11
33,3104,0,0,167,11/18/2013,11/19/2013,81,16553,IT joke mug - keyboard not found … press F1 to continue (Black),Each,2,13,15,26,3.9,17,29.9,2,0,11
34,127,0,0,172,11/26/2013,11/27/2013,90,17058,Developer joke mug - this code was generated by a tool (White),Each,2,13,15,26,3.9,17,29.9,2,0,11
35,1341,0,0,201,11/29/2013,11/30/2013,93,17238,DBA joke mug - daaaaaa-ta (Black),Each,2,13,15,26,3.9,17,29.9,2,0,11
36,3166,0,0,192,12/2/2013,12/3/2013,91,17277,DBA joke mug - two types of DBAs (White),Each,2,13,15,26,3.9,17,29.9,2,0,11
37,3380,0,0,163,10/22/2013,10/23/2013,9,15226,IT joke mug - hardware: part of the computer that can be kicked (Black),Each,10,13,15,130,19.5,85,149.5,10,0,11
38,3242,0,0,186,10/24/2013,10/25/2013,9,15289,Developer joke mug - fun was unexpected at this time (White),Each,10,13,15,130,19.5,85,149.5,10,0,11
39,1198,0,0,190,10/24/2013,10/25/2013,19,15295,Developer joke mug - Oct 31 = Dec 25 (White),Each,10,13,15,130,19.5,85,149.5,10,0,11
40,3166,0,0,182,10/25/2013,10/26/2013,4,15437,Developer joke mug - inheritance is the OO way to become wealthy (White),Each,10,13,15,130,19.5,85,149.5,10,0,11
41,3166,0,0,179,10/28/2013,10/29/2013,70,15525,"Developer joke mug - (hip, hip, array) (Black)",Each,10,13,15,130,19.5,85,149.5,10,0,11
42,3166,0,0,176,11/6/2013,11/7/2013,4,15992,Developer joke mug - there are 10 types of people in the world (White),Each,10,13,15,130,19.5,85,149.5,10,0,11
43,127,0,0,195,11/7/2013,11/8/2013,4,16049,DBA joke mug - I will get you in order (Black),Each,10,13,15,130,19.5,85,149.5,10,0,11
44,3104,0,0,187,11/8/2013,11/9/2013,74,16100,Developer joke mug - that's a hardware problem (Black),Each,10,13,15,130,19.5,85,149.5,10,0,11
45,2995,0,0,172,11/13/2013,11/14/2013,1,16317,Developer joke mug - this code was generated by a tool (White),Each,10,13,15,130,19.5,85,149.5,10,0,11
46,859,0,0,199,11/15/2013,11/16/2013,91,16464,DBA joke mug - you might be a DBA if (Black),Each,10,13,15,130,19.5,85,149.5,10,0,11
47,126,0,0,173,11/23/2013,11/24/2013,9,16879,Developer joke mug - a foo walks into a bar (Black),Each,10,13,15,130,19.5,85,149.5,10,0,11
48,2995,0,0,200,11/28/2013,11/29/2013,19,17112,DBA joke mug - you might be a DBA if (White),Each,10,13,15,130,19.5,85,149.5,10,0,11
49,859,0,0,175,12/4/2013,12/5/2013,96,17443,Developer joke mug - there are 10 types of people in the world (Black),Each,10,13,15,130,19.5,85,149.5,10,0,11
50,2080,0,0,164,12/6/2013,12/7/2013,1,17564,IT joke mug - hardware: part of the computer that can be kicked (White),Each,10,13,15,130,19.5,85,149.5,10,0,11
51,2995,0,0,176,12/17/2013,12/18/2013,9,18016,Developer joke mug - there are 10 types of people in the world (White),Each,10,13,15,130,19.5,85,149.5,10,0,11
52,1198,0,0,184,12/24/2013,12/25/2013,94,18349,Developer joke mug - when your hammer is C++ (White),Each,10,13,15,130,19.5,85,149.5,10,0,11
53,464,0,0,197,12/27/2013,12/28/2013,93,18576,DBA joke mug - it depends (Black),Each,10,13,15,130,19.5,85,149.5,10,0,11
54,2080,0,0,166,10/24/2013,10/25/2013,9,15352,IT joke mug - that behavior is by design (White),Each,9,13,15,117,17.55,76.5,134.55,9,0,11
55,126,0,0,176,11/18/2013,11/19/2013,91,16574,Developer joke mug - there are 10 types of people in the world (White),Each,9,13,15,117,17.55,76.5,134.55,9,0,11
56,3380,0,0,175,11/30/2013,12/1/2013,4,17257,Developer joke mug - there are 10 types of people in the world (Black),Each,9,13,15,117,17.55,76.5,134.55,9,0,11
57,126,0,0,171,12/3/2013,12/4/2013,19,17371,Developer joke mug - this code was generated by a tool (Black),Each,9,13,15,117,17.55,76.5,134.55,9,0,11
58,127,0,0,175,12/10/2013,12/11/2013,90,17755,Developer joke mug - there are 10 types of people in the world (Black),Each,9,13,15,117,17.55,76.5,134.55,9,0,11
59,859,0,0,182,12/16/2013,12/17/2013,4,17951,Developer joke mug - inheritance is the OO way to become wealthy (White),Each,9,13,15,117,17.55,76.5,134.55,9,0,11
60,2080,0,0,187,12/16/2013,12/17/2013,91,17961,Developer joke mug - that's a hardware problem (Black),Each,9,13,15,117,17.55,76.5,134.55,9,0,11
61,126,0,0,163,12/19/2013,12/20/2013,9,18129,IT joke mug - hardware: part of the computer that can be kicked (Black),Each,9,13,15,117,17.55,76.5,134.55,9,0,11
62,1055,0,0,171,12/24/2013,12/25/2013,4,18352,Developer joke mug - this code was generated by a tool (Black),Each,9,13,15,117,17.55,76.5,134.55,9,0,11
63,3155,0,0,202,12/30/2013,12/31/2013,4,18667,DBA joke mug - daaaaaa-ta (White),Each,9,13,15,117,17.55,76.5,134.55,9,0,11
